"","TRP","WGCNA","Corr","P.value"
"8","TRPV2","A2M",0.619852730001921,0
"57","PKD2","ABCA1",0.524669166590026,0
"163","TRPV2","ABLIM3",0.529773162958012,0
"194","TRPV2","ABR",0.616698709619806,0
"196","TRPV4","ABR",0.509547913374472,0
"256","TRPV2","ACP5",0.503927346013055,0
"318","TRPV2","ACVRL1",0.677055766513035,0
"349","TRPV2","ADAM8",0.64770178459738,0
"355","TRPM2","ADAM8",0.530070234392456,0
"380","TRPV2","ADAM9",0.511087393779608,0
"398","PKD2","ADAM9",0.525598665872697,0
"411","TRPV2","ADAMDEC1",0.600334105381068,0
"442","TRPV2","ADAP2",0.818076782802961,0
"448","TRPM2","ADAP2",0.619100257189762,0
"473","TRPV2","ADCY7",0.668388110505811,0
"490","PKD1","ADCY7",0.539288611557259,0
"535","TRPV2","AGAP2",0.726823875820205,0
"597","TRPV2","AIF1",0.729559359598437,0
"659","TRPV2","ALOX5",0.578788790143312,0
"690","TRPV2","ALOX5AP",0.711641927114816,0
"696","TRPM2","ALOX5AP",0.530548129843327,0
"752","TRPV2","AMPD3",0.637083594647733,0
"754","TRPV4","AMPD3",0.528929333071978,0
"758","TRPM2","AMPD3",0.574579151108132,0
"814","TRPV2","AOAH",0.801212730515203,0
"820","TRPM2","AOAH",0.540013349485797,0
"845","TRPV2","APBB1IP",0.787543678945905,0
"851","TRPM2","APBB1IP",0.592650385295059,0
"938","TRPV2","APOBR",0.6942597303016,0
"944","TRPM2","APOBR",0.562048412177901,0
"1000","TRPV2","APOE",0.545070762331171,0
"1093","TRPV2","APOL3",0.557770716805204,0
"1124","TRPV2","APOL6",0.514353339882395,0
"1155","TRPV2","ARHGAP22",0.503582100799803,0
"1186","TRPV2","ARHGAP25",0.56785330661664,0
"1217","TRPV2","ARHGDIB",0.686657063768882,0
"1248","TRPV2","ARHGEF6",0.849807830862331,0
"1254","TRPM2","ARHGEF6",0.552382526769472,0
"1266","PKD2","ARHGEF6",0.559249013245738,0
"1279","TRPV2","ARID5A",0.54162883906135,0
"1372","TRPV2","ARRB1",0.650135521722767,0
"1378","TRPM2","ARRB1",0.508100249683417,0
"1403","TRPV2","ARRB2",0.543232364004143,0
"1496","TRPV2","ATP2A3",0.615996534481416,0
"1527","TRPV2","ATP6V1B2",0.611764413377836,0
"1558","TRPV2","AXL",0.585383188501979,0
"1576","PKD2","AXL",0.548702853350133,0
"1589","TRPV2","B2M",0.56447365100159,0
"1806","TRPV2","BCL2A1",0.558605289742771,0
"1837","TRPV2","BIN2",0.813215099831778,0
"1843","TRPM2","BIN2",0.562877260984955,0
"1992","TRPV2","BTK",0.850964911692022,0
"1998","TRPM2","BTK",0.593650991831443,0
"2054","TRPV2","C1QA",0.741281871667632,0
"2060","TRPM2","C1QA",0.501555204689823,0
"2085","TRPV2","C1QB",0.75791664975539,0
"2091","TRPM2","C1QB",0.520278469816288,0
"2116","TRPV2","C1R",0.50940636906705,0
"2147","TRPV2","C1S",0.549979554062832,0
"2271","TRPV2","C3AR1",0.828862288106627,0
"2277","TRPM2","C3AR1",0.576616919226469,0
"2302","TRPV2","C5AR1",0.721071498017122,0
