Tag	dynamicColors	mergedColors
A2M	brown	brown
A2ML1	grey	grey
A3GALT2	grey	grey
A4GALT	grey	grey
AAAS	black	darkgreen
AACS	black	darkgreen
AADAC	grey	grey
AADAT	cyan	darkgreen
AAGAB	darkred	darkgreen
AAK1	turquoise	darkgreen
AAMDC	grey	grey
AAMP	turquoise	darkgreen
AAR2	orange	darkgreen
AARD	grey	grey
AARS2	magenta	darkgreen
AARSD1	red	red
AASDH	royalblue	darkgreen
AASDHPPT	yellowgreen	darkgreen
AASS	turquoise	darkgreen
AATF	darkturquoise	darkgreen
AATK	grey	grey
ABAT	grey	grey
ABCA1	brown	brown
ABCA2	lightgreen	darkgreen
ABCA3	lightsteelblue1	lightsteelblue1
ABCA4	grey	grey
ABCA5	bisque4	bisque4
ABCA7	orangered4	orangered4
ABCA8	blue	blue
ABCA9	blue	blue
ABCB10	lightcyan	darkgreen
ABCB6	grey	grey
ABCB7	salmon	darkgreen
ABCB8	darkseagreen4	darkgreen
ABCB9	black	darkgreen
ABCC1	skyblue3	darkgreen
ABCC10	magenta	darkgreen
ABCC3	brown	brown
ABCC4	grey	grey
ABCC5	lightpink4	darkgreen
ABCC6	grey	grey
ABCC9	blue	blue
ABCD1	turquoise	darkgreen
ABCD3	midnightblue	darkgreen
ABCD4	greenyellow	darkgreen
ABCE1	darkgreen	darkgreen
ABCF1	magenta	darkgreen
ABCF2	darkseagreen4	darkgreen
ABCF3	lightpink4	darkgreen
ABCG1	brown	brown
ABCG2	grey	grey
ABCG4	grey	grey
ABHD1	grey	grey
ABHD10	sienna3	darkgreen
ABHD11	grey	grey
ABHD12	grey	grey
ABHD13	skyblue	darkgreen
ABHD14A	brown	brown
ABHD14B	grey	grey
ABHD15	darkturquoise	darkgreen
ABHD16A	magenta	darkgreen
ABHD17A	orangered4	orangered4
ABHD17B	midnightblue	darkgreen
ABHD17C	darkred	darkgreen
ABHD18	darkgreen	darkgreen
ABHD2	darkred	darkgreen
ABHD3	brown	brown
ABHD4	turquoise	darkgreen
ABHD5	purple	darkgreen
ABHD6	purple	darkgreen
ABHD8	salmon4	salmon4
ABI1	turquoise	darkgreen
ABI2	steelblue	darkgreen
ABI3	brown	brown
ABI3BP	grey	grey
ABITRAM	midnightblue	darkgreen
ABL1	lightgreen	darkgreen
ABL2	turquoise	darkgreen
ABLIM1	turquoise	darkgreen
ABLIM2	grey	grey
ABLIM3	brown	brown
ABO	grey	grey
ABR	brown	brown
ABRACL	lightcyan1	darkgreen
ABRAXAS1	darkgreen	darkgreen
ABRAXAS2	turquoise	darkgreen
ABT1	magenta	darkgreen
ABTB1	red	red
ABTB2	turquoise	darkgreen
AC003006.1	white	paleturquoise
AC003688.1	grey	grey
AC005041.1	green	green
AC005702.1	bisque4	bisque4
AC005726.1	red	red
AC006254.1	red	red
AC007906.2	green	green
AC008687.4	grey	grey
AC008758.6	thistle2	salmon4
AC009779.3	turquoise	darkgreen
AC010325.1	grey	grey
AC010422.3	grey	grey
AC010619.1	grey	grey
AC011005.1	orangered4	orangered4
AC011448.1	salmon4	salmon4
AC011479.1	darkgrey	darkgrey
AC011499.1	grey	grey
AC012651.1	red	red
AC019117.3	grey	grey
AC022415.2	thistle2	salmon4
AC068580.4	grey	grey
AC068831.7	grey	grey
AC068896.1	red	red
AC069257.3	red	red
AC090004.1	red	red
AC090360.1	red	red
AC092718.3	tan	darkgreen
AC092835.1	turquoise	darkgreen
AC093323.1	royalblue	darkgreen
AC099850.2	grey	grey
AC105052.3	grey	grey
AC112229.3	turquoise	darkgreen
AC118549.1	turquoise	darkgreen
AC211486.8	grey	grey
AC233723.1	grey	grey
AC244197.3	red	red
AC253572.1	grey	grey
ACAA1	purple	darkgreen
ACAA2	grey	grey
ACACA	darkturquoise	darkgreen
ACACB	black	darkgreen
ACAD10	black	darkgreen
ACAD8	yellowgreen	darkgreen
ACAD9	sienna3	darkgreen
ACADM	cyan	darkgreen
ACADS	black	darkgreen
ACADSB	turquoise	darkgreen
ACADVL	lightyellow	darkgreen
ACAP1	violet	brown
ACAP2	lightpink4	darkgreen
ACAP3	pink	darkgreen
ACAT1	yellowgreen	darkgreen
ACAT2	lightcyan1	darkgreen
ACBD3	lightcyan	darkgreen
ACBD4	grey	grey
ACBD5	turquoise	darkgreen
ACBD6	lightcyan	darkgreen
ACBD7	yellow	yellow
ACCS	red	red
ACD	tan	darkgreen
ACE	grey	grey
ACE2	darkmagenta	darkmagenta
ACER2	purple	darkgreen
ACER3	grey	grey
ACHE	grey	grey
ACIN1	red	red
ACKR1	blue	blue
ACKR2	grey	grey
ACKR3	grey	grey
ACKR4	blue	blue
ACLY	darkturquoise	darkgreen
ACO1	darkslateblue	darkslateblue
ACO2	grey60	darkgreen
ACOT1	grey	grey
ACOT11	turquoise	darkgreen
ACOT13	magenta	darkgreen
ACOT2	greenyellow	darkgreen
ACOT4	grey	grey
ACOT7	yellow	yellow
ACOT8	orange	darkgreen
ACOT9	midnightblue	darkgreen
ACOX1	mediumpurple3	bisque4
ACOX2	grey	grey
ACOX3	royalblue	darkgreen
