"","p.value","HR","Low 95%CI","High 95%CI"
"A2M",0.177142657967588,0.921879190054385,0.819165869150008,1.03747149760667
"ABCA1",0.106769123790112,1.15638694978837,0.96921654456912,1.37970279720651
"ABLIM3",0.152310506836228,1.18117064459127,0.940370076506608,1.48363301480951
"ABR",0.223471192585275,1.08840721260042,0.949634104715528,1.24745968427017
"ACP5",0.664463659676043,1.02633716768416,0.912589104937974,1.15426315750454
"ACVRL1",0.141692174882268,1.14035953132861,0.957111538034903,1.35869207403138
"ADAM8",0.0584248489342678,1.12296654696868,0.995874072094806,1.26627843915862
"ADAM9",0.100834401855188,1.14184580027103,0.974530125420721,1.33788766256324
"ADAMDEC1",0.10948350737962,0.928331760140615,0.847526320323734,1.01684140801266
"ADAP2",0.421676776211799,1.05917999697978,0.920582287542887,1.21864420072261
"ADCY7",0.0961450273928627,1.13726051426855,0.977368036198382,1.32331059479405
"AGAP2",0.319968296572355,1.15061515789479,0.872673205476138,1.51708020054873
"AIF1",0.858253748139342,1.01005508304857,0.905027002997472,1.1272716365515
"ALOX5",0.207797449485228,1.0721565689603,0.962005341579527,1.19492029688455
"ALOX5AP",0.0328675465241041,1.09934929374413,1.00774214439365,1.19928384098981
"AMPD3",0.459401732311167,1.07179373235146,0.891950147221891,1.28789911441329
"AOAH",0.385215542513108,1.05360540189344,0.936461292338495,1.18540333912465
"APBB1IP",0.684270931861337,1.02458198272147,0.911408052449406,1.15180926534082
"APOBR",0.182327946971283,1.10418647683547,0.954519693059866,1.2773207137486
"APOE",0.589035978689063,1.03165791311803,0.921357611322568,1.15516281259267
"APOL3",0.572655006746953,0.968419780138326,0.866255017964568,1.08263369459815
"APOL6",0.569990400337806,0.969667701608723,0.871904260697539,1.07839300015683
"ARHGAP22",0.697519746817243,0.949265656201894,0.730062844149768,1.23428454586514
"ARHGAP25",0.885385726029683,0.984560237902403,0.796813708033815,1.21654390767246
"ARHGDIB",0.812352563010106,0.984086131735583,0.862011161339826,1.12344892746989
"ARHGEF6",0.363346500433735,1.08105151076028,0.913835804369344,1.27886471872658
"ARID5A",0.812426574976557,0.976613541354688,0.80322503096794,1.18743063573104
"ARRB1",0.443962554366449,1.07102486464985,0.898469907357333,1.27671973352138
"ARRB2",0.752673710166905,1.03863548284661,0.820474862688319,1.31480404249486
"ATP2A3",0.147654679917549,0.905632545679567,0.791914535383424,1.03568033057626
"ATP6V1B2",0.0350812025354186,1.2622693439665,1.01643027753211,1.56756831426374
"AXL",0.0883052046532636,1.12424187216337,0.982594023822023,1.2863092553821
"B2M",0.866063303174756,1.0106508765862,0.893577757258453,1.14306246551864
"BCL2A1",0.618916431866919,0.970447216907242,0.862252479197767,1.09221814204492
"BIN2",0.904012042187684,0.991284686264506,0.85983061642972,1.1428359382023
"BTK",0.406756171047136,1.0706214537682,0.91121556439105,1.25791343131276
"C1QA",0.659943119853038,1.02208879380449,0.927301766191944,1.12656477158535
"C1QB",0.571204578561777,1.02616435753278,0.938412246906019,1.1221222785002
"C1R",0.605683627257971,1.03245546173519,0.914550557896459,1.16556080061732
"C1S",0.808852837984423,1.01221588629923,0.917379911905336,1.11685571831255
"C3AR1",0.142623985883653,1.07977377573007,0.974476431988915,1.1964490555967
"C5AR1",0.0099983708928545,1.17611134957663,1.03954901579824,1.33061345408597
"CAMK1",0.240691548259975,1.1236696918067,0.924794726283264,1.36531225838568
"CASP1",0.889366741672466,0.991321718490766,0.876757594280219,1.12085570283341
"CASS4",0.476414202023004,1.07943898817001,0.874625695879285,1.33221392267706
"CCDC69",0.53647005681207,0.953899142655045,0.821319370661023,1.1078803287273
"CCL13",0.094774117727169,0.903989631163673,0.803041756772556,1.01762734796727
"CCL2",0.639599758647735,1.02379868558125,0.927812049930328,1.12971560207329
"CCL22",0.272887251748648,0.896548392839218,0.737557297782075,1.08981230762641
"CCL4",0.313226723151317,1.05616907661421,0.949746360929642,1.17451686501251
"CCL5",0.170897498760191,0.946132946758458,0.874040698426475,1.02417147685846
"CCL8",0.160184823388879,0.93338690670046,0.847777074765359,1.02764175103577
"CCR1",0.382977345775751,0.95112482085494,0.849858233492056,1.06445803452323
"CCR2",0.38337205791911,0.921502074251653,0.766775917276854,1.10745010858694
"CCR4",0.194589575480409,0.83742302713508,0.640492126282332,1.09490389904802
"CCR5",0.580480423864921,0.961795854254686,0.837703413017894,1.10427061760311
"CCR7",0.0242249720438617,0.828199163287422,0.702966288482943,0.97574217328436
"CCRL2",0.630638824434435,1.05490316763172,0.848384582287019,1.31169367797747
"CD14",0.14265574208208,1.08278229211687,0.973555266320869,1.20426393105808
"CD163",0.0647297343804785,1.10178549819572,0.994095746957191,1.22114121074361
"CD180",0.621508463518521,1.04184852089257,0.885366829925046,1.22598713188512
"CD1C",0.880857495570096,1.01097717012193,0.876476359470545,1.16611797621689
"CD1D",0.644042646885894,1.05462490494441,0.841626977885716,1.32152808709043
"CD1E",0.92026426237695,1.00810340649254,0.860747842812521,1.18068547794574
"CD2",0.0569641338361992,0.915851680117404,0.836603499939179,1.00260673070917
"CD209",0.253670601243282,1.08139536561481,0.945435248512084,1.23690748638111
"CD247",0.174660726101458,0.873840097253289,0.719223201843275,1.06169616554449
"CD27",0.028202932033061,0.861673223143905,0.754386931669847,0.98421739867592
"CD28",0.281410220911869,1.14887804238284,0.892485555534481,1.47892674350226
"CD300A",0.123141632834416,1.11474499899553,0.970961556203221,1.27982040570662
"CD300C",0.0621392166303665,1.1551818769525,0.992705735258168,1.34425048777669
"CD33",0.111688348572437,1.17942724636829,0.96240869087845,1.44538244787272
"CD37",0.93592670328377,1.0052563299772,0.884640417926758,1.14231756596373
"CD38",0.00109877805068585,0.776216639682622,0.666681817921429,0.903747868208984
"CD3D",0.0494693145896004,0.904313181815738,0.817973290130151,0.999766545770198
"CD3E",0.0986938996166837,0.921013013071908,0.835314346113286,1.01550389286951
"CD3G",0.00538191161253928,0.773548177114864,0.64559460437227,0.926861498323005
"CD4",0.644751390206547,1.03000031107948,0.908377778409771,1.16790686214393
"CD40LG",0.00166989280610058,0.650537778105424,0.497559769555568,0.850549876892886
"CD44",0.266266569422255,0.933539153823413,0.826942428723769,1.05387669256048
"CD48",0.471939484655992,0.961256209883602,0.863138888749211,1.07052701840232
"CD5",0.127932913555603,0.876604627091038,0.73988409450357,1.03858925735254
"CD52",0.211950240438267,0.939230605990599,0.851175335890949,1.0363953160204
"CD53",0.62035519494974,1.02534923482855,0.92865580343649,1.13211057258567
"CD6",0.419891965430223,0.938223798701218,0.803552714149704,1.09546502793014
"CD69",0.844895973894023,0.987654124309724,0.872075316847147,1.11855094442144
"CD7",0.186141117727564,0.928016076525666,0.830724564652744,1.03670202487643
"CD72",0.222934841718309,0.883619751386706,0.724188396524942,1.07815020067615
"CD80",0.397319130040336,0.888341129732452,0.675322622062221,1.16855253621523
"CD84",0.455276193534357,1.05456761449881,0.917283607954844,1.21239804560474
"CD86",0.624245558966594,1.03123795108043,0.911815787413152,1.16630105162535
"CD8A",0.31970471775206,0.941005357523752,0.834789260239724,1.06073607443646
"CD96",0.0859039423487386,0.849259049211362,0.704788205741199,1.02334421432164
"CEACAM21",0.850593892189374,1.01645808714808,0.857671186792645,1.20464236042771
"CFD",0.329935504780997,1.05975733369393,0.942967321759612,1.19101222322566
"CHST11",0.680759672803326,1.02849245025889,0.899657468948213,1.17577717825896
"CIITA",0.644934647252489,1.02527143712455,0.922014946180248,1.14009162664695
"CLEC10A",0.537266146228742,0.954711123563087,0.824002117575308,1.10615411054668
"CLEC2B",0.84251324370247,1.01184881432522,0.900845420550386,1.136530196741
"CLEC4A",0.470468708281256,1.05401750891516,0.913692471170303,1.2158936886902
"CLEC4E",0.848405864747689,0.9866300482794,0.859441852867721,1.13264073528618
"CLEC5A",0.00665272003204164,1.18571873118863,1.04845422021044,1.34095402773941
"CLEC7A",0.812438908179242,1.01526464936743,0.89584705652341,1.15060076466103
"CLIC2",0.694287812606319,0.966743875798494,0.816704206376493,1.14434787294711
"CMKLR1",0.663635546473182,1.0311941607782,0.897881358639459,1.18430056152892
"CORO1A",0.350220676974902,1.05932199909183,0.938678261410104,1.1954714878282
"CORO1C",0.277765106278463,1.11191241091244,0.918068201734701,1.34668558088061
"COTL1",0.370885542458787,1.07539176880718,0.917116324768963,1.26098230419088
"CPED1",0.406021147039374,1.07549600580966,0.905836832779649,1.27693158045154
"CRTAM",0.860491240459267,1.01717846057079,0.841208304001546,1.22995935219305
"CSF1",0.0931250793935412,1.0925448167293,0.985306321043702,1.21145490602118
"CSF1R",0.071680175314405,1.09099969578237,0.992349667486938,1.19945657785278
"CSF2RA",0.205002154226604,1.09272530398303,0.952702276460564,1.25332815872013
"CSF2RB",0.747112740045569,1.02260840255347,0.892672717915237,1.17145726982132
"CSF3R",0.72520926417024,1.01960259231935,0.914999327513446,1.13616416428356
"CST7",0.673436093299422,0.979779183956942,0.890980974321547,1.07742732671291
"CTLA4",0.119516433325618,0.858367627984738,0.70822363153796,1.04034227602959
"CTSA",0.26262517682075,1.12384027339224,0.916198665921336,1.37854049244684
"CTSD",0.0655372227736312,1.16086449867921,0.990456558645327,1.36059110571884
"CTSL",0.330435299375441,1.0937177796392,0.913178127475476,1.30995097835502
"CTSO",0.861410334843788,1.01363343362021,0.870676809741367,1.18006213816342
"CTSS",0.564934210468195,0.970401281387872,0.87602026194208,1.07495076064974
"CTSW",0.326656758972305,0.946514337640284,0.848056574952336,1.05640286016175
"CTSZ",0.419337877865466,0.93075525939732,0.781987166241268,1.10782553767447
"CXCL9",0.00531936293497634,0.913670080862509,0.857461750900731,0.973562979090772
"CXCR3",0.178713269755499,0.922858853608296,0.820954981735189,1.03741189545267
"CXCR6",0.0937805182386015,0.867472090563115,0.734582148183681,1.02440255288885
"CXorf21",0.892392337131448,1.01165698434337,0.855280934674339,1.19662418800486
"CYB5R4",0.685318723471592,0.951727885811964,0.749173967605658,1.20904623999013
"CYBB",0.334501321214412,1.04609652641498,0.95460586553002,1.14635577057751
"CYTH4",0.267776622796201,1.07880504852453,0.943365190154231,1.23369013916207
"CYTIP",0.732019253563288,0.974364402518462,0.839785252017082,1.13051043301228
"DENND3",0.196301738102349,1.1298496374454,0.938854482665188,1.35969974773049
"DOCK10",0.271684600666086,1.116937687498,0.917040918972267,1.36040799482702
"DOCK2",0.286375993092959,1.0950089996104,0.926725015953186,1.29385166968271
"DOK2",0.847102556330592,1.01393737147862,0.880863328624443,1.16711521512243
"DOK3",0.838493703594726,1.01801495096147,0.85741135464869,1.20870155819864
"DPEP2",0.833531768387089,0.975277301445265,0.772223720285204,1.23172312599135
"DPYD",0.520950867615063,1.04333441912278,0.916574518048552,1.18762488885668
"DRAM1",0.383307248197785,1.06818374010416,0.920971196089796,1.23892745773957
"EBI3",0.888734476235246,0.991793447962676,0.883660991957393,1.11315793316033
"EHBP1L1",0.317010743788609,1.09199513732868,0.919085443015772,1.29743473690183
"ELL2",0.945743792126579,0.994625013303444,0.851623633809183,1.1616386368518
"EML3",0.583645509881824,1.05978072856225,0.861073287016727,1.30434332311382
"EMP3",0.647433997790466,0.962478989953805,0.816980511225865,1.13388972365143
"ENTPD1",0.270922051587425,1.15864822343198,0.891458297928959,1.50592092617334
"EPAS1",0.563545682370539,1.04212423040335,0.905965533380601,1.19874638888445
"EPB41L3",0.105230004783279,1.14741136397415,0.971556700508054,1.35509624655828
"ETS1",0.956595178232512,0.995291785687078,0.839736210761145,1.17966300126355
"EVI2A",0.547631648950266,1.03802884504829,0.919126356510761,1.17231311616692
"EVI2B",0.958616041782085,1.00271286802391,0.90518090664785,1.11075376017834
"F13A1",0.273506920076318,1.05344839554301,0.959705792285154,1.15634763381984
"FASLG",0.524385435564945,0.936367150637684,0.764776682668291,1.14645681630127
"FCAR",0.0544741592597265,1.30180348376841,0.994949528979453,1.7032947511316
"FCER1G",0.84064115396503,0.988881559399248,0.886774332888705,1.1027458759822
"FCGR1B",0.73651567805496,1.04792741219497,0.797812322779959,1.37645387251374
"FCGR2A",0.107610166507061,1.10116331036354,0.979201259113566,1.23831605076619
"FCGR2B",0.0726606206024821,1.12876205657054,0.988927257174665,1.28836956521294
"FCGR3B",0.0331429851157314,1.22756205428968,1.01653328113915,1.48239966668207
"FCN1",0.4861659486864,0.950121827445303,0.822702126826525,1.09727622860315
"FGD2",0.535187035296401,1.05699015637977,0.887136177386654,1.25936493084398
"FGL2",0.607684212178943,1.02848370154779,0.923912261199121,1.14489088279506
"FGR",0.5109711035386,1.04694657320822,0.913093295130324,1.20042183312274
"FLI1",0.261119582124686,1.11770188289981,0.920532638565671,1.35710288446079
"FLVCR2",0.95909415056303,0.994340078909127,0.800456120335025,1.23518599884175
"FMNL1",0.206120756830141,1.12022798498375,0.939442236693855,1.33580404342592
"FOLR2",0.299880560709931,1.06194864195236,0.947877562460485,1.18974745558604
"FOXP3",0.0732007994080706,0.869288094024473,0.745777993438112,1.013253001646
"FPR1",0.0358789262959699,1.1268555384456,1.00790472344974,1.25984468073469
"FPR3",0.638050718383675,1.02312557762876,0.930167998418825,1.12537299646686
"GAL3ST4",0.184888298841563,1.09208682949393,0.958744514618624,1.24397441129404
"GBP2",0.124058152746337,0.922038301286688,0.831429344677168,1.02252179873413
"GFI1",0.241175061415324,0.857400665289177,0.662904117669302,1.10896264066511
"GIMAP4",0.729317948430999,0.977398485941905,0.858690382857372,1.11251717661336
"GIMAP6",0.964446468411276,1.00324535239807,0.870029046018562,1.15685935051741
"GK",0.776722550709057,0.969440629455187,0.782288119231113,1.20136700396548
"GLIPR1",0.295553567780303,1.08870197104993,0.928434059427157,1.27663560996384
"GLRX",0.795987023532731,0.976649099841779,0.816486232723443,1.16822969695417
"GM2A",0.816018112703242,0.972253769563783,0.767074522061966,1.23231493843648
"GMFG",0.763410690123601,0.97711479967002,0.840383101712369,1.13609296734879
"GNA15",0.0922682856011419,1.12478721876238,0.980878173807548,1.28980980643111
"GPNMB",0.693103957145805,1.0181022497683,0.931314459990725,1.11297766276881
"GPR132",0.802512296290277,0.982890582486041,0.858557959046065,1.12522851481471
"GPR171",0.0156076360309509,0.794937656770862,0.660001004525847,0.957461994480346
"GPR18",0.193835441201973,0.826587990253094,0.620187706235723,1.10167889295593
"GPR183",0.34122301921884,1.05143453486669,0.948255935915877,1.16583987427673
"GPR65",0.802740175856474,1.02113405732303,0.866600410217795,1.20322440507838
"GPSM3",0.825203561198334,0.986047013794,0.870448354020219,1.1169975897151
"GRN",0.548994574227421,1.05523151545801,0.885088284076095,1.25808190126271
"GZMA",0.37527326538428,0.958134176073289,0.871702364041563,1.05313595239472
"GZMH",0.607241153342011,0.969580389468189,0.861841380958546,1.09078787861835
"GZMK",0.244417100849739,0.92314413098349,0.806845823806231,1.05620561131382
"GZMM",0.0884670768260534,0.858820861700348,0.720868264363871,1.02317345478178
"HCK",0.342460841455513,1.05739789266738,0.942313694994027,1.18653725331299
"HCLS1",0.354696505949862,1.05894479890839,0.937992223628942,1.19549401251617
"HGF",0.00497080185463761,1.33848172780777,1.09211105221169,1.64043146715452
"HHEX",0.776241775282952,0.980053609401329,0.852921787782149,1.12613499978488
"HIVEP3",0.316257421603589,1.11201106890933,0.903510817803473,1.36862624443513
"HK3",0.766448161844542,1.02451114908664,0.873213647273329,1.20202323667335
